question_id,user_id,category,city,question_text,created_at,created_date,created_month,created_year,processed_at
51,22,Programming,Bangalore,What are good resources for learning technology?,2026-02-03 18:59:00,2026-02-03,2026-02,2026,2026-09-03 10:38:15.170826
52,11,Programming,Jaipur,How can I improve my career skills?,2026-02-06 18:10:00,2026-02-06,2026-02,2026,2026-09-03 10:38:15.170826
53,6,Business,Bangalore,What is the difference between SQL and NoSQL?,2026-01-13 00:14:00,2026-01-13,2026-01,2026,2026-09-03 10:38:15.170826
54,9,Career,Jaipur,What is data engineering?,2026-05-25 19:22:00,2026-05-25,2026-05,2026,2026-09-03 10:38:15.170826
55,21,Career,Hyderabad,How can I prepare for a technical interview?,2026-03-13 03:02:00,2026-03-13,2026-03,2026,2026-09-03 10:38:15.170826
56,7,Technology,Jaipur,How can I start learning machine learning?,2026-01-26 10:53:00,2026-01-26,2026-01,2026,2026-09-03 10:38:15.170826
57,8,Programming,Delhi,How can I learn data analytics?,2026-02-18 12:28:00,2026-02-18,2026-02,2026,2026-09-03 10:38:15.170826
58,22,Programming,Delhi,What is the best way to learn SQL?,2026-01-25 10:27:00,2026-01-25,2026-01,2026,2026-09-03 10:38:15.170826
59,22,Health,Mumbai,How can I improve my programming skills?,2026-06-20 08:10:00,2026-06-20,2026-06,2026,2026-09-03 10:38:15.170826
60,27,General,Jaipur,What is data engineering?,2026-02-17 23:16:00,2026-02-17,2026-02,2026,2026-09-03 10:38:15.170826
61,1,Health,Delhi,What is the best way to learn SQL?,2026-02-03 04:24:00,2026-02-03,2026-02,2026,2026-09-03 10:38:15.170826
62,26,Business,Delhi,How can I improve my career skills?,2026-06-21 23:45:00,2026-06-21,2026-06,2026,2026-09-03 10:38:15.170826
63,25,Technology,Jaipur,What are good resources for learning technology?,2026-01-03 08:18:00,2026-01-03,2026-01,2026,2026-09-03 10:38:15.170826
64,9,Programming,Pune,How can I learn Python?,2026-05-26 17:46:00,2026-05-26,2026-05,2026,2026-09-03 10:38:15.170826
65,10,Health,Chennai,What are good resources for learning technology?,2026-05-16 19:16:00,2026-05-16,2026-05,2026,2026-09-03 10:38:15.170826
66,14,Career,Jaipur,How can I learn Python?,2026-01-14 03:53:00,2026-01-14,2026-01,2026,2026-09-03 10:38:15.170826
67,24,Programming,Ahmedabad,What is the difference between SQL and NoSQL?,2026-03-05 08:55:00,2026-03-05,2026-03,2026,2026-09-03 10:38:15.170826
68,17,Business,Bangalore,How can I learn Python?,2026-01-10 22:59:00,2026-01-10,2026-01,2026,2026-09-03 10:38:15.170826
69,1,Health,Mumbai,How can I prepare for a technical interview?,2026-02-12 23:14:00,2026-02-12,2026-02,2026,2026-09-03 10:38:15.170826
70,13,General,Ahmedabad,What are good resources for learning technology?,2026-03-28 17:04:00,2026-03-28,2026-03,2026,2026-09-03 10:38:15.170826
71,23,Education,Hyderabad,What is the best way to learn SQL?,2026-04-28 20:26:00,2026-04-28,2026-04,2026,2026-09-03 10:38:15.170826
72,12,Business,Ahmedabad,What is the best way to learn SQL?,2026-03-10 03:05:00,2026-03-10,2026-03,2026,2026-09-03 10:38:15.170826
73,13,Education,Hyderabad,How can I start learning machine learning?,2026-04-12 15:41:00,2026-04-12,2026-04,2026,2026-09-03 10:38:15.170826
74,5,General,Hyderabad,What are good resources for learning technology?,2026-05-01 19:38:00,2026-05-01,2026-05,2026,2026-09-03 10:38:15.170826
75,7,Health,Bangalore,How can I learn data analytics?,2026-05-08 06:46:00,2026-05-08,2026-05,2026,2026-09-03 10:38:15.170826
76,3,Career,Hyderabad,How can I improve my programming skills?,2026-06-10 06:45:00,2026-06-10,2026-06,2026,2026-09-03 10:38:15.170826
77,26,Technology,Pune,How can I improve my career skills?,2026-04-11 22:29:00,2026-04-11,2026-04,2026,2026-09-03 10:38:15.170826
78,3,Education,Delhi,How can I learn data analytics?,2026-02-01 20:59:00,2026-02-01,2026-02,2026,2026-09-03 10:38:15.170826
79,9,General,Pune,How can I learn Python?,2026-04-30 08:28:00,2026-04-30,2026-04,2026,2026-09-03 10:38:15.170826
80,30,Health,Mumbai,What are good resources for learning technology?,2026-01-24 06:07:00,2026-01-24,2026-01,2026,2026-09-03 10:38:15.170826
81,8,Business,Jaipur,How can I prepare for a technical interview?,2026-06-01 04:09:00,2026-06-01,2026-06,2026,2026-09-03 10:38:15.170826
82,20,Business,Delhi,How can I prepare for a technical interview?,2026-05-23 23:55:00,2026-05-23,2026-05,2026,2026-09-03 10:38:15.170826
83,8,Health,Delhi,What are good resources for learning technology?,2026-05-07 00:31:00,2026-05-07,2026-05,2026,2026-09-03 10:38:15.170826
84,5,Education,Hyderabad,How can I start learning machine learning?,2026-01-31 04:44:00,2026-01-31,2026-01,2026,2026-09-03 10:38:15.170826
85,29,Business,Ahmedabad,How can I improve my career skills?,2026-04-26 03:08:00,2026-04-26,2026-04,2026,2026-09-03 10:38:15.170826
86,22,Programming,Jaipur,How can I improve my career skills?,2026-05-23 20:38:00,2026-05-23,2026-05,2026,2026-09-03 10:38:15.170826
87,13,General,Pune,How can I improve my programming skills?,2026-02-06 12:27:00,2026-02-06,2026-02,2026,2026-09-03 10:38:15.170826
88,11,Programming,Mumbai,How can I learn data analytics?,2026-03-24 20:56:00,2026-03-24,2026-03,2026,2026-09-03 10:38:15.170826
89,7,Programming,Bangalore,What is data engineering?,2026-04-17 11:03:00,2026-04-17,2026-04,2026,2026-09-03 10:38:15.170826
90,2,Education,Bangalore,What is data engineering?,2026-04-20 17:34:00,2026-04-20,2026-04,2026,2026-09-03 10:38:15.170826
91,18,Career,Chennai,How can I improve my programming skills?,2026-04-28 01:13:00,2026-04-28,2026-04,2026,2026-09-03 10:38:15.170826
92,14,Health,Delhi,How can I improve my programming skills?,2026-02-06 13:16:00,2026-02-06,2026-02,2026,2026-09-03 10:38:15.170826
93,12,Technology,Hyderabad,What is the best way to learn SQL?,2026-05-24 10:49:00,2026-05-24,2026-05,2026,2026-09-03 10:38:15.170826
94,1,Business,Hyderabad,How can I improve my career skills?,2026-02-11 09:04:00,2026-02-11,2026-02,2026,2026-09-03 10:38:15.170826
95,8,Programming,Ahmedabad,What is the best way to learn SQL?,2026-02-11 12:19:00,2026-02-11,2026-02,2026,2026-09-03 10:38:15.170826
96,13,Business,Mumbai,How can I learn data analytics?,2026-06-03 11:30:00,2026-06-03,2026-06,2026,2026-09-03 10:38:15.170826
97,12,Programming,Jaipur,How can I learn Python?,2026-03-26 18:39:00,2026-03-26,2026-03,2026,2026-09-03 10:38:15.170826
98,5,General,Ahmedabad,What is the difference between SQL and NoSQL?,2026-06-17 16:46:00,2026-06-17,2026-06,2026,2026-09-03 10:38:15.170826
99,2,Business,Pune,How can I improve my career skills?,2026-01-22 15:13:00,2026-01-22,2026-01,2026,2026-09-03 10:38:15.170826
100,8,Business,Hyderabad,What is the best way to learn SQL?,2026-04-24 10:37:00,2026-04-24,2026-04,2026,2026-09-03 10:38:15.170826
